locId,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
1,"O1","","","",0.0000,0.0000,,
2,"AP","","","",35.0000,105.0000,,
3,"EU","","","",47.0000,8.0000,,
4,"AD","","","",42.5000,1.5000,,
5,"AE","","","",24.0000,54.0000,,
6,"AF","","","",33.0000,65.0000,,
7,"AG","","","",17.0500,-61.8000,,
8,"AI","","","",18.2500,-63.1667,,
596,"EG","12","Banha","",30.4591,31.1786,,
597,"EG","23","Qena","",26.1642,32.7267,,
598,"EG","07","Ismailia","",30.6043,32.2723,,
599,"EG","15","Suez","",29.9737,32.5263,,
600,"EG","15","Suës","",29.9737,32.5263,,
601,"EG","05","Ziftá","",30.7142,31.2443,,
602,"EG","14","Belbeis","",30.4204,31.5622,,
603,"EG","14","Hehia","",30.6713,31.5880,,
604,"MR","06","Nouakchott","",18.0864,-15.9753,,
605,"US","NY","Valhalla","10595",41.0748,-73.7751,501,914
606,"US","PA","Pittsburgh","15222",40.4495,-79.9880,508,412
607,"US","MO","Bridgeton","63044",38.7667,-90.4201,609,314
608,"US","CA","San Francisco","94124",37.7353,-122.3732,807,415
609,"US","NY","New York","10017",40.7528,-73.9725,501,212
610,"US","PA","Bear Lake","16402",41.9491,-79.4448,516,814
611,"US","NJ","Piscataway","08854",40.5516,-74.4637,501,732
612,"US","NY","Keuka Park","14478",42.5669,-77.1325,555,315
613,"US","VT","Brattleboro","05302",42.8509,-72.5579,506,802
614,"US","MA","Hanscom Afb","01731",42.4585,-71.2752,506,781
615,"US","TN","Nashville","37203",36.1473,-86.7770,659,615
